source,feature,numeric_feature,recommended_incremental,anchor_missing_fraction_all,classification,rationale,exact_base_overlap,formula_or_derived_relationship
ai_diagnostic_only,etf_aiq_reason_code,False,False,,exclude_audit_or_metadata,"date, coverage, count, boolean, or reason-code diagnostic; not a primary economic feature",False,False
ai_diagnostic_only,etf_botz_close_obs_count_last_5,False,False,,exclude_audit_or_metadata,"date, coverage, count, boolean, or reason-code diagnostic; not a primary economic feature",False,False
ai_diagnostic_only,etf_botz_close_obs_count_last_20,False,False,,exclude_audit_or_metadata,"date, coverage, count, boolean, or reason-code diagnostic; not a primary economic feature",False,False
ai_diagnostic_only,etf_botz_close_obs_count_last_60,False,False,,exclude_audit_or_metadata,"date, coverage, count, boolean, or reason-code diagnostic; not a primary economic feature",False,False
ai_diagnostic_only,etf_botz_reason_code,False,False,,exclude_audit_or_metadata,"date, coverage, count, boolean, or reason-code diagnostic; not a primary economic feature",False,False
ai_diagnostic_only,etf_igv_close_obs_count_last_5,False,False,,exclude_audit_or_metadata,"date, coverage, count, boolean, or reason-code diagnostic; not a primary economic feature",False,False
ai_diagnostic_only,etf_igv_close_obs_count_last_20,False,False,,exclude_audit_or_metadata,"date, coverage, count, boolean, or reason-code diagnostic; not a primary economic feature",False,False
ai_diagnostic_only,etf_igv_close_obs_count_last_60,False,False,,exclude_audit_or_metadata,"date, coverage, count, boolean, or reason-code diagnostic; not a primary economic feature",False,False
ai_diagnostic_only,etf_igv_reason_code,False,False,,exclude_audit_or_metadata,"date, coverage, count, boolean, or reason-code diagnostic; not a primary economic feature",False,False
ai_diagnostic_only,pool_valid_return_count,False,False,,exclude_audit_or_metadata,"date, coverage, count, boolean, or reason-code diagnostic; not a primary economic feature",False,False
ai_diagnostic_only,pool_valid_ma20_count,False,False,,exclude_audit_or_metadata,"date, coverage, count, boolean, or reason-code diagnostic; not a primary economic feature",False,False
ai_diagnostic_only,pool_valid_ma60_count,False,False,,exclude_audit_or_metadata,"date, coverage, count, boolean, or reason-code diagnostic; not a primary economic feature",False,False
ai_diagnostic_only,pool_low_coverage_return,False,False,,exclude_audit_or_metadata,"date, coverage, count, boolean, or reason-code diagnostic; not a primary economic feature",False,False
ai_diagnostic_only,pool_low_coverage_ma20,False,False,,exclude_audit_or_metadata,"date, coverage, count, boolean, or reason-code diagnostic; not a primary economic feature",False,False
ai_diagnostic_only,pool_low_coverage_ma60,False,False,,exclude_audit_or_metadata,"date, coverage, count, boolean, or reason-code diagnostic; not a primary economic feature",False,False
ai_diagnostic_only,pool_low_coverage,False,False,,exclude_audit_or_metadata,"date, coverage, count, boolean, or reason-code diagnostic; not a primary economic feature",False,False
ai_diagnostic_only,pool_reason_code,False,False,,exclude_audit_or_metadata,"date, coverage, count, boolean, or reason-code diagnostic; not a primary economic feature",False,False
ai_diagnostic_only,etf_coverage_reason_codes,False,False,,exclude_audit_or_metadata,"date, coverage, count, boolean, or reason-code diagnostic; not a primary economic feature",False,False
ai_diagnostic_only,feature_reason_code,False,False,,exclude_audit_or_metadata,"date, coverage, count, boolean, or reason-code diagnostic; not a primary economic feature",False,False
