sample_id,security_id,Instrument,formation_session,split,reference_session,p_up
86e317138a4b9abd9991be06,ROK.N,ROK.N,2021-01-08,validation,2021-01-07,0.5407279059451541
fa284a5f2be935bead7f4bf0,SNPS.OQ,SNPS.OQ,2021-01-08,validation,2021-01-07,0.5397909623500335
090cfb9bcd6099aa58d63a0e,STX.OQ,STX.OQ,2021-01-08,validation,2021-01-07,0.6582087169575316
7f1bdcc73dec30629e40b327,TER.OQ,TER.OQ,2021-01-08,validation,2021-01-07,0.50133593907269
141081b32677e756116fe35f,TSLA.OQ,TSLA.OQ,2021-01-08,validation,2021-01-07,0.5318025730549358
b3e991d31a327bad5fe874e6,TT.N,TT.N,2021-01-08,validation,2021-01-07,0.5224822149723897
a9d3db4fb66ccd448c9a42b8,TXN.OQ,TXN.OQ,2021-01-08,validation,2021-01-07,0.5711052606783673
944d21bd5a9108fbed1def2b,WDC.OQ,WDC.OQ,2021-01-08,validation,2021-01-07,0.5242898828633116
f6629898e93a2c8bfe9ce4a7,ZBRA.OQ,ZBRA.OQ,2021-01-08,validation,2021-01-07,0.4970869780195503
04e38ba6b223c8bceffc3ef7,ADI.OQ,ADI.OQ,2021-01-11,validation,2021-01-08,0.5191068781950156
50308e8335f8163ab7b83060,AMD.OQ,AMD.OQ,2021-01-11,validation,2021-01-08,0.5987182634319086
5ec1cf6fb804611ff5cbdd19,AMT.N,AMT.N,2021-01-11,validation,2021-01-08,0.4923456484585915
bf42a4c61dca211794006906,AMZN.OQ,AMZN.OQ,2021-01-11,validation,2021-01-08,0.584587941595407
afbe97db023516e71a1e8750,ANET.N,ANET.N,2021-01-11,validation,2021-01-08,0.49161374272603675
82805fb3ea0872dc77d72811,APTV.N,APTV.N,2021-01-11,validation,2021-01-08,0.4993271264584876
66b9b608516a27929f18e625,AVGO.OQ,AVGO.OQ,2021-01-11,validation,2021-01-08,0.5752121556664813
f7bb61b09b63a3e4e5f34d05,CARR.N,CARR.N,2021-01-11,validation,2021-01-08,0.5292846956806927
04c515ac5e6ca24993037718,CDNS.OQ,CDNS.OQ,2021-01-11,validation,2021-01-08,0.5367088181637849
60293f96e1b5de7360d19e6d,CSCO.OQ,CSCO.OQ,2021-01-11,validation,2021-01-08,0.6003690846935926
f23acdfd4b2d6e743597d8f4,DELL.N,DELL.N,2021-01-11,validation,2021-01-08,0.5175327155356401
355a031bb066064165b47d12,DLR.N,DLR.N,2021-01-11,validation,2021-01-08,0.5397480886861296
b7f8331e67bfac637263a54a,EQIX.OQ,EQIX.OQ,2021-01-11,validation,2021-01-08,0.4231312681339986
ed5891927cfedc581ba8f168,ETN.N,ETN.N,2021-01-11,validation,2021-01-08,0.5420407683522691
4d22b4020ea9caef2e76d1ee,GOOG.OQ,GOOG.OQ,2021-01-11,validation,2021-01-08,0.5654820333289344
9096e5823bda9a7c130697ca,HON.OQ,HON.OQ,2021-01-11,validation,2021-01-08,0.6058336911218403
d7ad6c4a0c4565e368332197,HPE.N,HPE.N,2021-01-11,validation,2021-01-08,0.5998458001568895
05f88d45d9eb93f77b9d1e91,IBM.N,IBM.N,2021-01-11,validation,2021-01-08,0.5334797874271321
1561e99d4b7d67131d2d39e1,INTC.OQ,INTC.OQ,2021-01-11,validation,2021-01-08,0.5490579398562824
c6106489f839a27796833c0b,IRM.N,IRM.N,2021-01-11,validation,2021-01-08,0.5777027071813368
2019ab3f923fad2cc998df00,ISRG.OQ,ISRG.OQ,2021-01-11,validation,2021-01-08,0.5112001302436653
df18618e463e9b677f8e0d17,JCI.N,JCI.N,2021-01-11,validation,2021-01-08,0.48289039302580766
0bd537a9fee4e983d81b8252,JNPR.N^G25,JNPR.N^G25,2021-01-11,validation,2021-01-08,0.5307946331064202
8ad16b1dc9dc7e4128119bd1,META.OQ,META.OQ,2021-01-11,validation,2021-01-08,0.5889905713505244
a5d3470bae5553ce043df399,MSFT.OQ,MSFT.OQ,2021-01-11,validation,2021-01-08,0.5853580488102156
6a5dcee6cb4f6e18202ec6c6,MU.OQ,MU.OQ,2021-01-11,validation,2021-01-08,0.6549790497798816
2abbab625bbac4a778670e0e,NOW.N,NOW.N,2021-01-11,validation,2021-01-08,0.4929143748944525
39f86a7e11c56fd136234233,NTAP.OQ,NTAP.OQ,2021-01-11,validation,2021-01-08,0.6295724191004753
41c136ace38c8b05603a3e77,NVDA.OQ,NVDA.OQ,2021-01-11,validation,2021-01-08,0.5947095303906866
c7c9f9178ceace086b2c8aa6,ORCL.N,ORCL.N,2021-01-11,validation,2021-01-08,0.5931879970111408
a48434b5e2cdde9392107614,QCOM.OQ,QCOM.OQ,2021-01-11,validation,2021-01-08,0.5493824831166366
9f4e9d202612950bbc10b084,ROK.N,ROK.N,2021-01-11,validation,2021-01-08,0.46169599041735904
6b12e1379236e37de1252fab,SNPS.OQ,SNPS.OQ,2021-01-11,validation,2021-01-08,0.4951838037617375
c200de0b23834e0fdb954d3e,STX.OQ,STX.OQ,2021-01-11,validation,2021-01-08,0.6568820101236852
1cc9efc6f88d2af29f9f3ec3,TER.OQ,TER.OQ,2021-01-11,validation,2021-01-08,0.4856066288180512
3feda867d48e5cb1f11e162b,TSLA.OQ,TSLA.OQ,2021-01-11,validation,2021-01-08,0.39558336692718304
696e72f9c2f5a091d2f4a4e3,TT.N,TT.N,2021-01-11,validation,2021-01-08,0.5292774667476493
eb71e8e4660570c9aa9612a6,TXN.OQ,TXN.OQ,2021-01-11,validation,2021-01-08,0.4926609463194672
72bdf9ae5382e346f97350ba,WDC.OQ,WDC.OQ,2021-01-11,validation,2021-01-08,0.7033163442917906
